allophones,confidence,description,domainelement_pk,frequency,id,jsondata,marginal,markup_description,name,pk,valueset_pk
,,,,,101908,{},False,,ɭ Bandjigali (ER 2875),101907,101907
,,,,,101934,{},False,,ɭ Southern Paakintyi (ER 2876),101933,101933
,,,,,101959,{},False,,ɭ Pallanganmiddang (ER 2877),101958,101958
,,,,,103158,{},False,,ɭ Yir Yoront (ER 2925),103157,103157
,,,,,103318,{},False,,ɭ Adnyamathanha (ER 2931),103317,103317
,,,,,103345,{},False,,ɭ Kaurna (ER 2932),103344,103344
,,,,,103371,{},False,,ɭ Nukunu (ER 2933),103370,103370
,,,,,103397,{},False,,ɭ Wirangu (ER 2934),103396,103396
,,,,,103420,{},False,,ɭ Parnkalla (ER 2935),103419,103419
,,,,,103445,{},False,,ɭ Narrungga (ER 2936),103444,103444
,,,,,103471,{},False,,ɭ Kukata (ER 2937),103470,103470
,,,,,103677,{},False,,ɭ Bularnu (ER 2946),103676,103676
,,,,,103707,{},False,,ɭ Eastern Wakaya (ER 2947),103706,103706
,,,,,103733,{},False,,ɭ Warluwarra (ER 2948),103732,103732
,,,,,103766,{},False,,ɭ Western Wakaya (ER 2949),103765,103765
,,,,,103791,{},False,,ɭ Yanyuwa (ER 2950),103790,103790
,,,,,103816,{},False,,ɭ Warumungu (ER 2951),103815,103815
,,,,,103844,{},False,,ɭ Kartujarra (ER 2952),103843,103843
,,,,,103867,{},False,,ɭ Manjiljarra (ER 2953),103866,103866
,,,,,103889,{},False,,ɭ Putijarra (ER 2954),103888,103888
,,,,,103913,{},False,,ɭ Wangkajunga (ER 2955),103912,103912
,,,,,103936,{},False,,ɭ Yulparija (ER 2956),103935,103935
,,,,,103959,{},False,,ɭ Warnman (ER 2957),103958,103958
,,,,,103982,{},False,,ɭ Antakirinya (ER 2958),103981,103981
,,,,,104005,{},False,,ɭ Kukatja (ER 2959),104004,104004
,,,,,104028,{},False,,ɭ Ngalia (ER 2960),104027,104027
,,,,,104051,{},False,,ɭ Ngarlawangka (ER 2961),104050,104050
,,,,,104075,{},False,,ɭ Ngaanyatjarra (ER 2962),104074,104074
,,,,,104097,{},False,,ɭ Pintupi (ER 2963),104096,104096
,,,,,104121,{},False,,ɭ Pitjantjatjara (ER 2964),104120,104120
,,,,,104144,{},False,,ɭ Yankunytjatjara (ER 2965),104143,104143
